GHG Intensity (kg CO2e/sq ft)_sqrt,GHG Intensity (kg CO2e/sq ft),Reporting Status,Reporting Status_Submitted Data,Weather Normalized Source EUI (kBtu/sq ft)_sqrt,Weather Normalized Source EUI (kBtu/sq ft)_log,Source EUI (kBtu/sq ft)_log,Source EUI (kBtu/sq ft)_sqrt,Source EUI (kBtu/sq ft),Chicago Energy Rating
2.5495098,6.5,Submitted Data,True,11.326959,4.8621354,4.8243055,11.113055,123.5,2.5
2.0736442,4.3,Submitted Data,True,9.444575,4.5020294,4.407938,9.005554,81.1,4.0
2.4576411,6.04,Not Submitted,False,10.909629,4.787658,4.750828,10.708875,114.68,0.0
2.6457512,7.0,Submitted Data,True,11.28273,4.854371,4.8481164,11.247222,126.5,3.5
2.9799328,8.88,Not Submitted,False,12.194261,5.008633,5.101694,12.778889,163.3,0.0
2.8809721,8.3,Submitted Data,True,12.561847,5.0676455,5.019925,12.263768,150.4,4.0
2.433105,5.92,Not Submitted,False,10.74337,4.7572045,4.7183204,10.534704,110.98,0.0
2.657066,7.06,Not Submitted,False,11.493477,4.891101,4.8727517,11.3877125,129.68,0.0
2.280351,5.2,Submitted Data,True,10.084641,4.631812,4.5839467,9.84378,96.9,4.0
2.607681,6.8,Submitted Data,True,12.140841,4.9999113,4.8941016,11.510864,132.5,2.0
2.738613,7.5,Submitted Data,True,12.239281,5.0159545,4.9691186,11.954079,142.9,2.5
1.3784049,1.9,Submitted Data,True,5.9665737,3.6000483,3.6000483,5.9665737,35.6,4.0
3.130495,9.8,Submitted Data,True,11.341076,4.864607,5.1750193,13.258959,175.8,1.0
2.280351,5.2,Submitted Data,True,10.217632,4.6577625,4.6210437,10.029955,100.6,3.5
3.11127,9.68,Submitted Data,True,13.682836,5.2376113,5.207298,13.475904,181.6,0.0
3.0983868,9.6,Submitted Data,True,13.397761,5.1957307,5.1613517,13.168143,173.4,4.0
2.50998,6.3,Submitted Data,True,11.233877,4.845761,4.806477,11.013628,121.3,4.0
3.5496478,12.6,Submitted Data,True,15.234829,5.4514675,5.439383,15.142655,229.3,2.0
2.4,5.76,Not Submitted,False,10.781466,4.764223,4.7030225,10.453708,109.28,0.0
2.792848,7.8,Submitted Data,True,12.441865,5.048573,5.0113015,12.210651,149.1,1.5
2.657066,7.06,Submitted Data,True,11.6559,4.9189587,4.8876386,11.473448,131.64,0.0
3.391165,11.5,Submitted Data,True,14.741099,5.3858705,5.345678,14.446453,208.7,2.5
0.8944272,0.8,Submitted Data,True,3.8729835,2.7725887,2.766319,3.8600519,14.9,4.0
3.082207,9.5,Submitted Data,True,13.28533,5.178971,5.1659284,13.198484,174.2,2.0
1.8439089,3.4,Submitted Data,True,7.8803554,4.1447206,4.1541843,7.918333,62.7,4.0
2.1213202,4.5,Submitted Data,True,9.476286,4.5086594,4.4693503,9.28978,86.3,4.0
2.177154,4.74,Submitted Data,True,9.831582,4.581492,4.5139318,9.501579,90.28,0.0
3.0983868,9.6,Submitted Data,True,13.461055,5.205105,5.165357,13.194695,174.1,2.0
2.3874674,5.7,Submitted Data,True,10.55462,4.722064,4.70592,10.469002,109.6,3.5
2.9325757,8.6,Submitted Data,True,12.806249,5.1059456,5.078917,12.633289,159.6,2.0
2.433105,5.92,Not Submitted,False,10.836051,4.7742376,4.730392,10.599056,112.34,0.0
2.4494898,6.0,Submitted Data,True,11.309288,4.859037,4.769837,10.812031,116.9,2.5
2.828427,8.0,Submitted Data,True,12.62141,5.077047,5.031091,12.332883,152.1,2.5
4.07431,16.6,Submitted Data,True,17.643696,5.743964,5.743964,17.643696,311.3,4.0
2.0,4.0,Submitted Data,True,8.994443,4.405499,4.335983,8.683317,75.4,4.0
2.8844411,8.32,Not Submitted,False,12.590472,5.0721693,5.0423923,12.403225,153.84,0.0
3.7549968,14.1,Submitted Data,True,16.709278,5.635504,5.6006417,16.4195,269.6,1.0
1.9493588,3.8,Submitted Data,True,8.5440035,4.304065,4.286341,8.467586,71.7,4.0
2.04939,4.2,Submitted Data,True,8.871302,4.3782697,4.3489866,8.740709,76.4,4.0
1.67332,2.8,Submitted Data,True,7.300685,3.9945242,3.9702919,7.2111025,52.0,4.0
2.345208,5.5,Submitted Data,True,10.300486,4.673763,4.642466,10.139033,102.8,4.0
