Date,Open,Date_year,Date_month,Date_day,Date_dayofweek,Date_quarter
Unknown,51.48,0.0,0.0,0.0,0.0,0.0
Unknown,50.62,0.0,0.0,0.0,0.0,0.0
Unknown,49.35,0.0,0.0,0.0,0.0,0.0
2016-05-02 16:00:00,50.0,2016.0,5.0,2.0,0.0,2.0
2016-05-03 16:00:00,50.34,2016.0,5.0,3.0,1.0,2.0
2016-05-04 16:00:00,49.84,2016.0,5.0,4.0,2.0,2.0
2016-05-05 16:00:00,49.87,2016.0,5.0,5.0,3.0,2.0
2016-05-06 16:00:00,49.92,2016.0,5.0,6.0,4.0,2.0
2016-05-09 16:00:00,50.49,2016.0,5.0,9.0,0.0,2.0
2016-05-10 16:00:00,50.33,2016.0,5.0,10.0,1.0,2.0
2016-05-11 16:00:00,51.13,2016.0,5.0,11.0,2.0,2.0
2016-05-12 16:00:00,51.2,2016.0,5.0,12.0,3.0,2.0
Unknown,51.44,0.0,0.0,0.0,0.0,0.0
Unknown,50.8,0.0,0.0,0.0,0.0,0.0
Unknown,51.72,0.0,0.0,0.0,0.0,0.0
Unknown,50.48,0.0,0.0,0.0,0.0,0.0
Unknown,50.47,0.0,0.0,0.0,0.0,0.0
Unknown,50.48,0.0,0.0,0.0,0.0,0.0
Unknown,50.6,0.0,0.0,0.0,0.0,0.0
Unknown,50.7,0.0,0.0,0.0,0.0,0.0
Unknown,51.92,0.0,0.0,0.0,0.0,0.0
Unknown,51.93,0.0,0.0,0.0,0.0,0.0
Unknown,51.92,0.0,0.0,0.0,0.0,0.0
Unknown,52.26,0.0,0.0,0.0,0.0,0.0
2016-06-01 16:00:00,52.44,2016.0,6.0,1.0,2.0,2.0
2016-06-02 16:00:00,52.64,2016.0,6.0,2.0,3.0,2.0
2016-06-03 16:00:00,52.38,2016.0,6.0,3.0,4.0,2.0
2016-06-06 16:00:00,51.99,2016.0,6.0,6.0,0.0,2.0
2016-06-07 16:00:00,52.24,2016.0,6.0,7.0,1.0,2.0
2016-06-08 16:00:00,52.02,2016.0,6.0,8.0,2.0,2.0
2016-06-09 16:00:00,52.0,2016.0,6.0,9.0,3.0,2.0
2016-06-10 16:00:00,51.05,2016.0,6.0,10.0,4.0,2.0
Unknown,49.58,0.0,0.0,0.0,0.0,0.0
Unknown,49.9,0.0,0.0,0.0,0.0,0.0
Unknown,49.78,0.0,0.0,0.0,0.0,0.0
Unknown,49.52,0.0,0.0,0.0,0.0,0.0
Unknown,50.41,0.0,0.0,0.0,0.0,0.0
Unknown,50.64,0.0,0.0,0.0,0.0,0.0
Unknown,50.2,0.0,0.0,0.0,0.0,0.0
Unknown,51.08,0.0,0.0,0.0,0.0,0.0
Unknown,51.28,0.0,0.0,0.0,0.0,0.0
Unknown,49.81,0.0,0.0,0.0,0.0,0.0
Unknown,49.1,0.0,0.0,0.0,0.0,0.0
Unknown,48.92,0.0,0.0,0.0,0.0,0.0
Unknown,49.91,0.0,0.0,0.0,0.0,0.0
Unknown,50.72,0.0,0.0,0.0,0.0,0.0
2016-07-01 16:00:00,51.13,2016.0,7.0,1.0,4.0,3.0
2016-07-05 16:00:00,50.83,2016.0,7.0,5.0,1.0,3.0
2016-07-06 16:00:00,50.78,2016.0,7.0,6.0,2.0,3.0
2016-07-07 16:00:00,51.42,2016.0,7.0,7.0,3.0,3.0
2016-07-08 16:00:00,51.73,2016.0,7.0,8.0,4.0,3.0
2016-07-11 16:00:00,52.5,2016.0,7.0,11.0,0.0,3.0
2016-07-12 16:00:00,52.94,2016.0,7.0,12.0,1.0,3.0
Unknown,53.56,0.0,0.0,0.0,0.0,0.0
Unknown,53.84,0.0,0.0,0.0,0.0,0.0
Unknown,53.95,0.0,0.0,0.0,0.0,0.0
Unknown,53.7,0.0,0.0,0.0,0.0,0.0
Unknown,53.71,0.0,0.0,0.0,0.0,0.0
Unknown,56.15,0.0,0.0,0.0,0.0,0.0
Unknown,55.98,0.0,0.0,0.0,0.0,0.0
Unknown,56.08,0.0,0.0,0.0,0.0,0.0
Unknown,56.47,0.0,0.0,0.0,0.0,0.0
Unknown,56.52,0.0,0.0,0.0,0.0,0.0
Unknown,56.61,0.0,0.0,0.0,0.0,0.0
Unknown,56.0,0.0,0.0,0.0,0.0,0.0
Unknown,56.26,0.0,0.0,0.0,0.0,0.0
2016-08-01 16:00:00,56.6,2016.0,8.0,1.0,0.0,3.0
2016-08-02 16:00:00,56.85,2016.0,8.0,2.0,1.0,3.0
2016-08-03 16:00:00,56.68,2016.0,8.0,3.0,2.0,3.0
2016-08-04 16:00:00,56.8,2016.0,8.0,4.0,3.0,3.0
2016-08-05 16:00:00,57.65,2016.0,8.0,5.0,4.0,3.0
2016-08-08 16:00:00,58.06,2016.0,8.0,8.0,0.0,3.0
2016-08-09 16:00:00,58.17,2016.0,8.0,9.0,1.0,3.0
2016-08-10 16:00:00,58.16,2016.0,8.0,10.0,2.0,3.0
2016-08-11 16:00:00,58.03,2016.0,8.0,11.0,3.0,3.0
2016-08-12 16:00:00,58.03,2016.0,8.0,12.0,4.0,3.0
Unknown,58.01,0.0,0.0,0.0,0.0,0.0
Unknown,57.61,0.0,0.0,0.0,0.0,0.0
Unknown,57.54,0.0,0.0,0.0,0.0,0.0
Unknown,57.42,0.0,0.0,0.0,0.0,0.0
Unknown,57.43,0.0,0.0,0.0,0.0,0.0
Unknown,57.6,0.0,0.0,0.0,0.0,0.0
Unknown,57.9,0.0,0.0,0.0,0.0,0.0
Unknown,57.8,0.0,0.0,0.0,0.0,0.0
Unknown,57.88,0.0,0.0,0.0,0.0,0.0
Unknown,58.28,0.0,0.0,0.0,0.0,0.0
Unknown,58.18,0.0,0.0,0.0,0.0,0.0
Unknown,57.98,0.0,0.0,0.0,0.0,0.0
Unknown,57.65,0.0,0.0,0.0,0.0,0.0
2016-09-01 16:00:00,57.01,2016.0,9.0,1.0,3.0,3.0
2016-09-02 16:00:00,57.67,2016.0,9.0,2.0,4.0,3.0
2016-09-06 16:00:00,57.78,2016.0,9.0,6.0,1.0,3.0
2016-09-07 16:00:00,57.47,2016.0,9.0,7.0,2.0,3.0
2016-09-08 16:00:00,57.63,2016.0,9.0,8.0,3.0,3.0
2016-09-09 16:00:00,56.79,2016.0,9.0,9.0,4.0,3.0
2016-09-12 16:00:00,56.0,2016.0,9.0,12.0,0.0,3.0
Unknown,56.5,0.0,0.0,0.0,0.0,0.0
Unknown,56.39,0.0,0.0,0.0,0.0,0.0
Unknown,56.15,0.0,0.0,0.0,0.0,0.0
Unknown,57.63,0.0,0.0,0.0,0.0,0.0
Unknown,57.27,0.0,0.0,0.0,0.0,0.0
Unknown,57.35,0.0,0.0,0.0,0.0,0.0
Unknown,57.51,0.0,0.0,0.0,0.0,0.0
Unknown,57.92,0.0,0.0,0.0,0.0,0.0
Unknown,57.87,0.0,0.0,0.0,0.0,0.0
