Date,Open,Date_year,Date_day,Date_dayofweek
2019-10-09 16:00:00,137.46,2019.0,9.0,2.0
2019-10-10 16:00:00,138.49,2019.0,10.0,3.0
2019-10-11 16:00:00,140.12,2019.0,11.0,4.0
,139.69,0.0,0.0,0.0
,140.06,0.0,0.0,0.0
,140.79,0.0,0.0,0.0
,140.95,0.0,0.0,0.0
,139.76,0.0,0.0,0.0
,138.45,0.0,0.0,0.0
,138.97,0.0,0.0,0.0
,136.88,0.0,0.0,0.0
,139.39,0.0,0.0,0.0
,139.34,0.0,0.0,0.0
,144.4,0.0,0.0,0.0
,144.08,0.0,0.0,0.0
,143.52,0.0,0.0,0.0
,144.9,0.0,0.0,0.0
2019-11-01 16:00:00,144.26,2019.0,1.0,4.0
2019-11-04 16:00:00,144.83,2019.0,4.0,0.0
2019-11-05 16:00:00,144.97,2019.0,5.0,1.0
2019-11-06 16:00:00,144.37,2019.0,6.0,2.0
2019-11-07 16:00:00,143.84,2019.0,7.0,3.0
2019-11-08 16:00:00,143.98,2019.0,8.0,4.0
2019-11-11 16:00:00,145.34,2019.0,11.0,0.0
2019-11-12 16:00:00,146.28,2019.0,12.0,1.0
,146.74,0.0,0.0,0.0
,147.02,0.0,0.0,0.0
,148.93,0.0,0.0,0.0
,150.07,0.0,0.0,0.0
,150.88,0.0,0.0,0.0
,150.31,0.0,0.0,0.0
,149.4,0.0,0.0,0.0
,150.07,0.0,0.0,0.0
,150.0,0.0,0.0,0.0
,151.36,0.0,0.0,0.0
,152.33,0.0,0.0,0.0
,152.1,0.0,0.0,0.0
2019-12-02 16:00:00,151.81,2019.0,2.0,0.0
2019-12-03 16:00:00,147.49,2019.0,3.0,1.0
2019-12-04 16:00:00,150.14,2019.0,4.0,2.0
2019-12-05 16:00:00,150.05,2019.0,5.0,3.0
2019-12-06 16:00:00,150.99,2019.0,6.0,4.0
2019-12-09 16:00:00,150.99,2019.0,9.0,0.0
2019-12-10 16:00:00,151.29,2019.0,10.0,1.0
2019-12-11 16:00:00,151.54,2019.0,11.0,2.0
2019-12-12 16:00:00,151.65,2019.0,12.0,3.0
,153.0,0.0,0.0,0.0
,155.11,0.0,0.0,0.0
,155.45,0.0,0.0,0.0
,154.3,0.0,0.0,0.0
,154.0,0.0,0.0,0.0
,157.35,0.0,0.0,0.0
,158.12,0.0,0.0,0.0
,157.48,0.0,0.0,0.0
,157.56,0.0,0.0,0.0
,159.45,0.0,0.0,0.0
,158.99,0.0,0.0,0.0
,156.77,0.0,0.0,0.0
2020-01-02 16:00:00,158.78,2020.0,2.0,3.0
2020-01-03 16:00:00,158.32,2020.0,3.0,4.0
2020-01-06 16:00:00,157.08,2020.0,6.0,0.0
2020-01-07 16:00:00,159.32,2020.0,7.0,1.0
2020-01-08 16:00:00,158.93,2020.0,8.0,2.0
2020-01-09 16:00:00,161.84,2020.0,9.0,3.0
2020-01-10 16:00:00,162.82,2020.0,10.0,4.0
,161.76,0.0,0.0,0.0
,163.39,0.0,0.0,0.0
,162.62,0.0,0.0,0.0
,164.35,0.0,0.0,0.0
,167.42,0.0,0.0,0.0
,166.68,0.0,0.0,0.0
,167.4,0.0,0.0,0.0
,166.19,0.0,0.0,0.0
,167.51,0.0,0.0,0.0
,161.15,0.0,0.0,0.0
,163.78,0.0,0.0,0.0
,167.84,0.0,0.0,0.0
,174.05,0.0,0.0,0.0
,172.21,0.0,0.0,0.0
2020-02-03 16:00:00,170.43,2020.0,3.0,0.0
2020-02-04 16:00:00,177.14,2020.0,4.0,1.0
2020-02-05 16:00:00,184.03,2020.0,5.0,2.0
2020-02-06 16:00:00,180.97,2020.0,6.0,3.0
2020-02-07 16:00:00,182.85,2020.0,7.0,4.0
2020-02-10 16:00:00,183.58,2020.0,10.0,0.0
2020-02-11 16:00:00,190.65,2020.0,11.0,1.0
2020-02-12 16:00:00,185.58,2020.0,12.0,2.0
,183.08,0.0,0.0,0.0
,183.25,0.0,0.0,0.0
,185.61,0.0,0.0,0.0
,188.06,0.0,0.0,0.0
,186.95,0.0,0.0,0.0
,183.17,0.0,0.0,0.0
,167.77,0.0,0.0,0.0
,174.2,0.0,0.0,0.0
,169.71,0.0,0.0,0.0
,163.32,0.0,0.0,0.0
,152.41,0.0,0.0,0.0
2020-03-02 16:00:00,165.31,2020.0,2.0,0.0
2020-03-03 16:00:00,173.8,2020.0,3.0,1.0
2020-03-04 16:00:00,168.49,2020.0,4.0,2.0
2020-03-05 16:00:00,166.05,2020.0,5.0,3.0
2020-03-06 16:00:00,162.61,2020.0,6.0,4.0
2020-03-09 16:00:00,151.0,2020.0,9.0,0.0
2020-03-10 16:00:00,158.16,2020.0,10.0,1.0
2020-03-11 16:00:00,157.13,2020.0,11.0,2.0
2020-03-12 16:00:00,145.3,2020.0,12.0,3.0
,147.5,0.0,0.0,0.0
,140.0,0.0,0.0,0.0
,140.0,0.0,0.0,0.0
,138.0,0.0,0.0,0.0
,142.77,0.0,0.0,0.0
,146.0,0.0,0.0,0.0
,137.01,0.0,0.0,0.0
,143.75,0.0,0.0,0.0
,148.91,0.0,0.0,0.0
,148.4,0.0,0.0,0.0
,151.75,0.0,0.0,0.0
,152.44,0.0,0.0,0.0
,159.4,0.0,0.0,0.0
2020-04-01 16:00:00,153.0,2020.0,1.0,2.0
2020-04-02 16:00:00,151.86,2020.0,2.0,3.0
2020-04-03 16:00:00,155.1,2020.0,3.0,4.0
2020-04-06 16:00:00,160.32,2020.0,6.0,0.0
2020-04-07 16:00:00,169.59,2020.0,7.0,1.0
2020-04-08 16:00:00,165.67,2020.0,8.0,2.0
2020-04-09 16:00:00,166.36,2020.0,9.0,3.0
,164.35,0.0,0.0,0.0
,169.0,0.0,0.0,0.0
,171.2,0.0,0.0,0.0
,174.3,0.0,0.0,0.0
,179.5,0.0,0.0,0.0
,176.63,0.0,0.0,0.0
,173.5,0.0,0.0,0.0
,171.39,0.0,0.0,0.0
,174.11,0.0,0.0,0.0
,172.06,0.0,0.0,0.0
,176.59,0.0,0.0,0.0
,175.59,0.0,0.0,0.0
,173.22,0.0,0.0,0.0
,180.0,0.0,0.0,0.0
2020-05-01 16:00:00,175.8,2020.0,1.0,4.0
2020-05-04 16:00:00,174.49,2020.0,4.0,0.0
2020-05-05 16:00:00,180.62,2020.0,5.0,1.0
2020-05-06 16:00:00,182.08,2020.0,6.0,2.0
2020-05-07 16:00:00,184.17,2020.0,7.0,3.0
2020-05-08 16:00:00,184.98,2020.0,8.0,4.0
2020-05-11 16:00:00,183.15,2020.0,11.0,0.0
2020-05-12 16:00:00,186.8,2020.0,12.0,1.0
,182.55,0.0,0.0,0.0
,177.54,0.0,0.0,0.0
,179.06,0.0,0.0,0.0
,185.75,0.0,0.0,0.0
,185.03,0.0,0.0,0.0
,184.81,0.0,0.0,0.0
,185.4,0.0,0.0,0.0
,183.19,0.0,0.0,0.0
,186.34,0.0,0.0,0.0
,180.2,0.0,0.0,0.0
,180.74,0.0,0.0,0.0
,182.73,0.0,0.0,0.0
2020-06-01 16:00:00,182.54,2020.0,1.0,0.0
2020-06-02 16:00:00,184.25,2020.0,2.0,1.0
2020-06-03 16:00:00,184.82,2020.0,3.0,2.0
2020-06-04 16:00:00,184.3,2020.0,4.0,3.0
2020-06-05 16:00:00,182.62,2020.0,5.0,4.0
2020-06-08 16:00:00,185.94,2020.0,8.0,0.0
2020-06-09 16:00:00,188.0,2020.0,9.0,1.0
2020-06-10 16:00:00,191.13,2020.0,10.0,2.0
2020-06-11 16:00:00,193.13,2020.0,11.0,3.0
2020-06-12 16:00:00,190.54,2020.0,12.0,4.0
,184.58,0.0,0.0,0.0
,192.89,0.0,0.0,0.0
,195.03,0.0,0.0,0.0
,194.0,0.0,0.0,0.0
,198.59,0.0,0.0,0.0
,195.79,0.0,0.0,0.0
,202.09,0.0,0.0,0.0
,201.6,0.0,0.0,0.0
,197.8,0.0,0.0,0.0
,199.73,0.0,0.0,0.0
