Date,Open
,72.67
,73.3
2017-08-01 16:00:00,73.1
2017-08-02 16:00:00,72.55
2017-08-03 16:00:00,72.19
2017-08-04 16:00:00,72.4
2017-08-07 16:00:00,72.8
2017-08-08 16:00:00,72.09
2017-08-09 16:00:00,72.25
2017-08-10 16:00:00,71.9
2017-08-11 16:00:00,71.61
,73.06
,73.59
,73.34
,73.58
,72.27
,72.47
,72.35
,72.96
,72.74
,72.86
,73.06
,72.25
,73.01
,74.03
2017-09-01 16:00:00,74.71
2017-09-05 16:00:00,73.34
2017-09-06 16:00:00,73.74
2017-09-07 16:00:00,73.68
2017-09-08 16:00:00,74.33
2017-09-11 16:00:00,74.31
2017-09-12 16:00:00,74.76
,74.93
,75.0
,74.83
,75.23
,75.21
,75.35
,75.11
,73.99
,74.09
,73.67
,73.55
,73.54
,73.94
2017-10-02 16:00:00,74.71
2017-10-03 16:00:00,74.67
2017-10-04 16:00:00,74.0
2017-10-05 16:00:00,75.22
2017-10-06 16:00:00,75.67
2017-10-09 16:00:00,75.97
2017-10-10 16:00:00,76.33
2017-10-11 16:00:00,76.36
2017-10-12 16:00:00,76.49
,77.59
,77.42
,77.47
,77.67
,77.57
,78.32
,78.99
,78.9
,78.58
,79.2
,84.37
,83.7
,84.36
2017-11-01 16:00:00,83.68
2017-11-02 16:00:00,83.35
2017-11-03 16:00:00,84.08
2017-11-06 16:00:00,84.2
2017-11-07 16:00:00,84.77
2017-11-08 16:00:00,84.14
2017-11-09 16:00:00,84.11
2017-11-10 16:00:00,83.79
,83.66
,83.5
,83.47
,83.1
,83.12
,82.4
,82.74
,83.83
,83.01
,83.31
,84.07
,84.71
,83.51
2017-12-01 16:00:00,83.6
2017-12-04 16:00:00,84.42
2017-12-05 16:00:00,81.34
2017-12-06 16:00:00,81.55
2017-12-07 16:00:00,82.54
2017-12-08 16:00:00,83.63
2017-12-11 16:00:00,84.29
2017-12-12 16:00:00,85.31
,85.74
,85.43
,85.26
,87.12
,86.35
,86.2
,86.05
,85.4
,85.31
,85.65
,85.9
,85.63
2018-01-02 16:00:00,86.13
2018-01-03 16:00:00,86.06
2018-01-04 16:00:00,86.59
2018-01-05 16:00:00,87.66
2018-01-08 16:00:00,88.2
2018-01-09 16:00:00,88.65
2018-01-10 16:00:00,87.86
2018-01-11 16:00:00,88.13
2018-01-12 16:00:00,88.67
,90.1
,89.08
,89.8
,90.14
,90.0
,91.9
,92.55
,92.47
,93.12
,95.14
,93.3
,93.75
2018-02-01 16:00:00,94.79
2018-02-02 16:00:00,93.64
2018-02-05 16:00:00,90.56
2018-02-06 16:00:00,86.89
2018-02-07 16:00:00,90.49
2018-02-08 16:00:00,89.71
2018-02-09 16:00:00,86.3
2018-02-12 16:00:00,88.74
,88.93
,88.51
,91.21
,92.45
,91.48
,92.98
,92.05
,92.75
,94.4
,95.74
,94.84
2018-03-01 16:00:00,93.99
2018-03-02 16:00:00,91.58
2018-03-05 16:00:00,92.34
2018-03-06 16:00:00,94.34
2018-03-07 16:00:00,93.16
2018-03-08 16:00:00,94.27
2018-03-09 16:00:00,95.29
2018-03-12 16:00:00,96.5
,97.0
,95.12
,93.53
,94.68
,93.74
,93.05
,92.93
,91.27
,89.5
,90.61
,94.94
,89.82
,90.18
2018-04-02 16:00:00,90.47
2018-04-03 16:00:00,89.58
2018-04-04 16:00:00,87.85
2018-04-05 16:00:00,92.44
